Book Title, Author's Name, #Reviews, Release Date 

This Will Be My Undoing: Living at the Intersection of Black Female and Feminist in (White) America,Morgan Jerkins,8,Jan 30 2018
Chill of the Ice Dragon: A Branches Book (Dragon Masters #9),Tracey West and ,13,Jan 30 2018
Big Potential: How Transforming the Pursuit of Success Raises Our Achievement Happiness and Well-Being,Shawn Achor,7,Jan 30 2018
Unbelievable: Why Neither Ancient Creeds Nor the Reformation Can Produce a Living Faith Today,John Shelby Spong,3,Feb 13 2018
Dragon Bones (The Unwanteds Quests),Lisa McMann,3,Feb 6 2018
Wires and Nerve Volume 2: Gone Rogue,Marissa Meyer and ,14,Jan 30 2018
Shaking Things Up: 14 Young Women Who Changed the World,Susan Hood and ,4,Jan 23 2018
The Friend: A Novel,Sigrid Nunez,7,Feb 6 2018
Gift of the Shaper: Book One of the HIGHGLADE Series,D. L. Jennings,17,Feb 7 2018
Roman Collar Crime: VIOLATED: The Transgressions of a Small-Town Priest,Charles A Utter,4,Feb 6 2018
The Prayer That Turns the World Upside Down: The Lord's Prayer as a Manifesto for Revolution,R. Albert Mohler  Jr.,15,Jan 23 2018
Heal Your Drained Brain: Naturally Relieve Anxiety Combat Insomnia and Balance Your Brain in Just 14 Days,Dr. Mike Dow,4,Feb 6 2018
An Extra Mile: A Story of Embracing God's Call (Sensible Shoes),Sharon Garlough Brown,10,Feb 6 2018
Elmore,Holly Hobbie,9,Jan 30 2018
The Prince and the Dressmaker,Jen Wang,21,Feb 13 2018
How to Turn Down a Billion Dollars: The Snapchat Story,Billy Gallagher,5,Feb 13 2018
Semiosis: A Novel,Sue Burke,12,Feb 6 2018
It's Not Always Depression: Working the Change Triangle to Listen to the Body Discover Core Emotions and  Connect to Your Authentic Self,Hilary Jacobs Hendel and ,14,Feb 6 2018
The Kings of Big Spring: God Oil and One Family's Search for the American Dream,Bryan Mealer,6,Feb 6 2018
Simon vs. the Homo Sapiens Agenda Special Edition,Becky Albertalli,3,Jan 30 2018
Living an Examined Life: Wisdom for the Second Half of the Journey,James Hollis PhD,3,Feb 1 2018
The Body Is Not an Apology: The Power of Radical Self-Love,Sonya Renee Taylor,7,Feb 13 2018
Love Worth Making: How to Have Ridiculously Great Sex in a Long-Lasting Relationship,Stephen Snyder M.D.,8,Feb 13 2018
Olympians: Hermes: Tales of the Trickster,George O'Connor,4,Jan 30 2018
Dead People Suck: A Guide for Survivors of the Newly Departed,Laurie Kilmartin,9,Feb 13 2018
A Warp in Time (Horizon Book 3),Jude Watson,1,Jan 30 2018
Trump's ABC,Ann Telnaes,5,Jan 23 2018
Silver Hair: Say Goodbye to the Dye and Let Your Natural Light Shine: A Handbook,Lorraine Massey and ,12,Feb 6 2018
Radically Open Dialectical Behavior Therapy: Theory and Practice for Treating Disorders of Overcontrol,Thomas R. Lynch PhD  FBPsS,10,Feb 15 2018
Trauma-Sensitive Mindfulness: Practices for Safe and Transformative Healing,David A. Treleaven and ,4,Feb 13 2018
A Cold Day in Hell (A Cold Case Investigation),Lissa Marie Redmond,19,Feb 8 2018
Two's A Crowd (Pug Pals #1),Flora Ahn,19,Jan 30 2018
Ten Things We Want You To Know From The Women Who Have Come Before You,Lisa A. Person,1,Feb 12 2018
Wolverine: Old Man Logan Vol. 6: Days of Anger,Ed Brisson and ,3,Feb 6 2018
Full Battle Rattle: My Story as the Longest-Serving Special Forces A-Team Soldier in American History,Changiz Lahidji and ,12,Feb 6 2018
The Problim Children,Natalie Lloyd and ,6,Jan 30 2018
pretty boy loser magnet: pblm,Molly Adams,1,Jan 30 2018
D-Day: Battle on the Beach (Ranger in Time #7),Kate Messner and ,1,Jan 30 2018
Brass: A Novel,Xhenet Aliu,24,Jan 23 2018
I Am a Warrior Goddess,Jennifer Adams and ,4,Feb 6 2018
Super Simple Hand Lettering: 20 Traceable Alphabets Easy Projects Practice Sheets & More! (Design Originals) Includes Technique Guides Skill-Building Exercises Art Prints & Vellum Tracing Paper,Kiley Bennett,3,Feb 12 2018
Hello World! Dinosaurs,Jill McDonald,1,Feb 13 2018
Being Wagner: The Story of the Most Provocative Composer Who Ever Lived,Simon Callow,4,Feb 6 2018
NCLEX-RN Practice Test Questions 2018 - 2019: NCLEX Review Book with 1000+ Practice Exam Questions for the NCLEX Nursing Examination,NCLEX Exam Prep Team,1,Feb 6 2018
Majed and the Arabic Letters 01: Volume 01 (Volume 1) (Arabic Edition),Leen Hawasly,20,Jan 25 2018
Gourmet Popcorn: 100 Recipes for Any Occasion,Georganne Bell,2,Feb 13 2018
A LIfetime of Misdiagnosis: Triumph over Illness,Eva Cardoza King,1,Feb 13 2018
My Dog Felix,Emely Carmona,3,Feb 6 2018
Putting It Together Again When It's All Fallen Apart: 7 Principles for Rebuilding Your Life,Tom Holladay and ,2,Feb 6 2018
NCLEX-RN Practice Test Questions 2018 - 2019: NCLEX Review Book with 1000+ Practice Exam Questions for the NCLEX Nursing Examination,NCLEX Exam Prep Team,1,Feb 6 2018
The Testament of Sister New Devil STORM! Vol. 2,Tetsuto Uesu and ,5,Feb 13 2018
Big Data Big Dupe: A little book about a big bunch of nonsense,Stephen Few,7,Feb 1 2018
His Alpha: Curving Straight Lines (The Curving Series),Rachelle Mills,10,Feb 9 2018
Winds of Spirit: Ancient Wisdom Tools for Navigating Relationships Health and the Divine,Renee Baribeau,14,Feb 6 2018
The Heat Is On (Next Best Junior Chef),Charise Mericle Harper and ,5,Feb 13 2018
Twinkle Twinkle Little Car,Kate Dopirak and ,2,Feb 13 2018
The Last to Let Go,Amber Smith,24,Feb 6 2018
The Plea: A Novel,Steve Cavanagh,17,Feb 13 2018
Female Viagra Sex Pills & Flibanserin: Uses Dosage Side Effects information and how to Use Female Viagra to Treat Erectile Dysfunction and Provide Intense Sexual Pleasure For Women,Doctor Williams Noah,1,Jan 28 2018
Purple Hearts (Front Lines),Michael Grant,4,Jan 30 2018
Haganai: I Don't Have Many Friends Vol. 15,Yomi Hirasaka and ,3,Feb 13 2018
The Easy Cannabis Cookbook: 60+ Medical Marijuana Recipes for Sweet and Savory Edibles,Cheri Sicard,23,Feb 13 2018
Awkward Silence Vol. 6,Hinako Takanaga,1,Feb 13 2018
The Heart and Mind of Frances Pauley,April Stevens,9,Feb 6 2018
Love from Amanda to Zoey,Ian Mark,2,Feb 14 2018
Night Night Farm Touch and Feel,Amy Parker and ,1,Feb 6 2018
Last Laugh,Beth Tally,4,Feb 5 2018
Stuff Every Wine Snob Should Know (Stuff You Should Know),Melissa Monosoff,1,Feb 6 2018
Easter Activity Book for Kids: The Story of Easter Bible Coloring Book with Dot to Dot Maze and Word Search Puzzles - (The Perfect Easter Basket ... Gifts Games and Stuff for Boys and Girls),Easter Gifts for Kids and ,5,Jan 30 2018
Scarlet A: The Ethics Law and Politics of Ordinary Abortion,Katie Watson,1,Feb 1 2018
Hotbloods 3: Renegades (Volume 3),Bella Forrest,23,Feb 10 2018
Strongheart: Wonder Dog of the Silver Screen,Candace Fleming and ,13,Feb 6 2018
Transformers vs G.I. Joe: The Quintessential Collection,Tom Scioli and ,1,Jan 23 2018
The Modern A-Frame,Ben Rahn and ,1,Feb 6 2018
